"user_id,""review"",""stars"",""date_format"",""time_of_day"",""hour_of_day"",""day_of_week"",""review_format"",""review_lang"",""month_year"",""review_len"",""review_nb_words""";;;;;;;;;;;;;;;;
"efb62a167fee5cf3678b24427de8e31f,""Génial, fabuleux, exceptionnel ! J'aimerais que Walt Disney se réveille pour admirer ce qu'il à laissé derrière lui"",5,2017-09-29 18:17:00,""18:17"",18,""Ven"",""génial  fabuleux  exceptionnel   j aimerais que walt disney se réveille pour admirer ce qu il à laissé derrière lui"",""french"",""2017-09"",115,19";;;;;;;;;;;;;;;;
"e3be4f9c9e0b9572bfb2a5f88497bb14,NA,2,2017-09-29 17:29:00,""17:29"",17,""Ven"",NA,NA,""2017-09"",0,0";;;;;;;;;;;;;;;;
"1b8e5760162d867e9b9ca80f645bdc60,""Toujours aussi magic, féerique !"",5,2017-09-29 16:46:00,""16:46"",16,""Ven"",""toujours aussi magic  féerique  "",""french"",""2017-09"",32,4";;;;;;;;;;;;;;;;
"fa330e5891a1bb486c3e9bf95c098726,NA,5,2017-09-29 15:52:00,""15:52"",15,""Ven"",NA,NA,""2017-09"",0,0";;;;;;;;;;;;;;;;
"c1a693206aee1a2412d4bd9e45b80ec5,NA,3,2017-09-29 15:29:00,""15:29"",15,""Ven"",NA,NA,""2017-09"",0,0";;;;;;;;;;;;;;;;
"b48f8f41f4f923b3b96362d9bd729a82,NA,5,2017-09-29 15:09:00,""15:09"",15,""Ven"",NA,NA,""2017-09"",0,0";;;;;;;;;;;;;;;;
"e3fa8d2f3bf2934cfc136621efe498ab,NA,5,2017-09-29 15:07:00,""15:07"",15,""Ven"",NA,NA,""2017-09"",0,0";;;;;;;;;;;;;;;;
"42116b0a64a4995a56568da77bed067b,NA,4,2017-09-29 12:32:00,""12:32"",12,""Ven"",NA,NA,""2017-09"",0,0";;;;;;;;;;;;;;;;
"9267478dabfcbc1f6e67459660ef04d5,NA,5,2017-09-29 10:56:00,""10:56"",10,""Ven"",NA,NA,""2017-09"",0,0";;;;;;;;;;;;;;;;
"ff017733b38aad87068b425f45962a19,NA,5,2017-09-29 10:22:00,""10:22"",10,""Ven"",NA,NA,""2017-09"",0,0";;;;;;;;;;;;;;;;
"b64494ecb412e0f88754742374b9205a,NA,5,2017-09-29 01:06:00,""01:06"",1,""Ven"",NA,NA,""2017-09"",0,0";;;;;;;;;;;;;;;;
